<<<<<<< HEAD
NIFTY MEDIA.NS
PFOCUS.NS
ZEEL.NS
PVRINOX.NS
NAZARA.NS
NETWORK18.NS
SAREGAMA.NS
TIPSMUSIC.NS
SUNTV.NS
HATHWAY.NS
DBCORP.NS
=======
NIFTY MEDIA.NS
PFOCUS.NS
ZEEL.NS
PVRINOX.NS
NAZARA.NS
NETWORK18.NS
SAREGAMA.NS
TIPSMUSIC.NS
SUNTV.NS
HATHWAY.NS
DBCORP.NS
>>>>>>> 6f13ce0 (initial commit with all files)
