"TTML","39.00","39.22","37.51","39.82","37.90","-","-1.92","-4.82","18,07,371","6.96","81.12","37.10","-11.68","-38.11"
"FIEMIND","2,042.00","2,063.00","1,999.00","2,074.30","2,005.00","-","-69.30","-3.34","34,229","6.95","2,555.30","1,255.10","-10.88","49.23"
"RITES","193.00","195.00","190.21","197.30","191.70","-","-5.60","-2.84","3,56,386","6.87","316.00","188.35","-12.55","-16.16"
"KITEX","161.07","162.85","159.20","164.60","159.50","-","-5.10","-3.10","4,26,540","6.86","324.42","138.20","-16.25","-7.01"
"ALOKINDS","13.18","13.41","12.80","13.23","12.87","-","-0.36","-2.72","51,90,913","6.77","23.50","12.51","-13.68","-21.09"
"OPTIEMUS","346.00","346.00","331.30","349.95","335.50","-","-14.45","-4.13","2,01,015","6.77","713.00","325.05","-20.01","-21.24"
"JUSTDIAL","522.60","523.75","515.00","528.70","518.10","-","-10.60","-2.00","1,30,149","6.75","1,048.90","508.90","-16.35","-39.45"
"ARVINDFASN","400.25","409.65","397.20","409.25","404.50","-","-4.75","-1.16","1,65,266","6.67","579.00","320.20","-13.72","2.03"
"KANSAINER","173.40","173.92","168.00","175.01","168.85","-","-6.16","-3.52","3,90,106","6.66","271.18","168.00","-15.79","-28.46"
"VIJAYA","934.70","934.70","911.20","938.20","915.30","-","-22.90","-2.44","72,204","6.64","1,180.00","813.15","-9.33","-18.26"
"CELLO","400.10","409.50","396.35","408.25","404.00","-","-4.25","-1.04","1,64,150","6.63","673.80","384.30","-10.21","-26.56"
"NIVABUPA","70.30","70.60","69.00","71.57","70.00","-","-1.57","-2.19","9,45,104","6.61","95.21","67.85","-7.98","-3.14"
"IMFA","1,236.90","1,255.10","1,216.80","1,258.50","1,222.00","-","-36.50","-2.90","53,399","6.57","1,510.60","549.80","-7.22","86.66"
"FDC","337.05","345.45","331.85","337.05","337.00","-","-0.05","-0.01","1,93,361","6.53","527.80","331.00","-10.50","-17.31"
"RTNINDIA","27.35","27.62","26.60","27.75","26.60","-","-1.15","-4.14","24,01,958","6.50","69.70","24.40","-17.03","-36.74"
"VINATIORGA","1,401.10","1,425.00","1,384.50","1,430.50","1,419.90","-","-10.60","-0.74","46,333","6.49","2,040.00","1,324.00","-4.23","-11.22"
"PGIL","1,501.00","1,534.00","1,460.20","1,537.10","1,482.20","-","-54.90","-3.57","43,020","6.42","1,993.30","875.00","-4.72","13.03"
"JAIBALAJI","62.80","63.39","62.00","64.07","62.05","-","-2.02","-3.15","10,21,893","6.41","149.45","58.28","-4.55","-56.54"
"BALAMINES","1,050.00","1,054.10","1,011.00","1,067.70","1,021.50","-","-46.20","-4.33","60,843","6.30","1,945.00","976.50","-7.19","-17.05"
"GANECOS","821.00","832.15","814.05","837.45","820.05","-","-17.40","-2.08","75,934","6.24","1,742.30","653.55","9.04","-44.58"
