Price,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,500.NS,NIFTY,500.NS,NIFTY,500.NS,NIFTY,500.NS,NIFTY,500.NS,NIFTY,500.NS,NIFTY
Date,,,,,,,,,,,,
