Price,Close,High,Low,Open,Volume
Ticker,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS
Date,,,,,
2016-04-20,1242.8973388671875,1261.4842511609988,1235.1218378864405,1242.766270128001,626888
2016-04-21,1217.8016357421875,1253.6867378624147,1214.3725196019209,1243.9455268974305,355374
2016-04-22,1232.9813232421875,1236.2137830551223,1218.1947658992835,1220.0512706971579,289744
2016-04-25,1230.578857421875,1239.2716259569202,1223.1091126821912,1228.7878335625012,342514
2016-04-26,1239.4024658203125,1244.076467737049,1221.4489320015502,1231.8672414282955,271578
2016-04-27,1249.929931640625,1256.2857512246717,1236.4758185905553,1236.4758185905553,334868
2016-04-28,1234.27001953125,1274.6544406410083,1228.3510236746113,1255.870979041432,808750
2016-04-29,1250.4542236328125,1265.0441235594074,1234.4663995783444,1234.9032242066453,282588
2016-05-02,1248.6195068359375,1254.538502030243,1238.397852930721,1247.5711703598374,148644
2016-05-03,1243.6834716796875,1266.7477272890412,1238.3978508920038,1249.9299786966806,439892
2016-05-04,1230.862548828125,1248.4010143179762,1224.834347861205,1243.639668712154,228920
2016-05-05,1232.4788818359375,1245.823896162377,1227.520986068859,1230.5350334815626,113140
2016-05-06,1230.6661376953125,1243.6398087864106,1228.350945664695,1235.3401402346221,127562
2016-05-09,1229.1153564453125,1240.1451788354482,1223.109017519991,1240.1451788354482,560452
2016-05-10,1232.2386474609375,1250.6290084059708,1229.705149736426,1229.705149736426,231398
2016-05-11,1243.8363037109375,1248.8379245251801,1219.1557114741026,1227.477242221337,196196
2016-05-12,1282.7137451171875,1288.6327405599359,1240.5820282000739,1252.3762939611308,519274
2016-05-13,1290.38037109375,1300.4273408077502,1277.9745902794798,1282.0807004604455,539448
2016-05-16,1282.32080078125,1301.278950566324,1268.1894787319209,1294.748442470912,292496
2016-05-17,1312.94189453125,1318.2929961999662,1285.2253933397585,1285.2253933397585,471342
2016-05-18,1298.0679931640625,1312.2210672089968,1296.4953819827906,1312.1992046501905,362640
2016-05-19,1308.704833984375,1317.0263651832702,1300.0339283707417,1301.7156393432697,313492
2016-05-20,1280.201904296875,1325.7845964724008,1271.159655908912,1314.7983931902234,404474
2016-05-23,1171.7822265625,1244.9503618650979,1162.3904957624652,1244.9503618650979,1521808
2016-05-24,1159.3544921875,1201.2677963338938,1140.1123448841684,1171.7821322420618,1125678
2016-05-25,1201.9013671875,1207.8203635352418,1160.8617056401104,1162.2595234295168,708388
2016-05-26,1198.82177734375,1220.9251519118034,1191.6797568116212,1204.238468123773,719338
2016-05-27,1187.8572998046875,1206.4442101124764,1179.9071124522777,1205.199217193217,1026142
2016-05-30,1199.5423583984375,1204.7623916667949,1188.1630548708056,1188.1630548708056,221882
2016-05-31,1182.1351318359375,1205.1995002523774,1175.4735543155139,1200.3944279425637,548766
2016-06-01,1207.864013671875,1219.7892425958664,1190.4346442542676,1196.8996711063628,961922
2016-06-02,1222.890625,1232.850248490429,1205.8763259707828,1209.9824350802978,372480
2016-06-03,1207.0994873046875,1225.118504834732,1203.9106459033744,1223.109068706056,333634
2016-06-06,1211.686279296875,1218.085718717902,1194.7810774959964,1207.8203379074769,204054
2016-06-07,1220.9903564453125,1227.4772450430758,1213.0620318450608,1213.0620318450608,803048
2016-06-08,1210.17919921875,1226.1670271260125,1205.658127214317,1214.4382403710401,260920
2016-06-09,1206.1822509765625,1221.1434975482048,1202.1634849056286,1210.0044672539893,394974
2016-06-10,1192.203857421875,1211.7517634838441,1189.9323902255703,1211.7517634838441,184010
2016-06-13,1169.90380859375,1186.4158024311419,1161.9536209377163,1186.4158024311419,222102
2016-06-14,1171.1923828125,1177.897683935243,1165.2297689216616,1168.9427784946079,216544
2016-06-15,1171.8260498046875,1178.9899326351733,1166.8680465178609,1178.9899326351733,219818
2016-06-16,1173.704345703125,1177.766837095268,1167.2175623327655,1170.6902976700285,201042
2016-06-17,1153.0423583984375,1178.7712869464312,1151.8192280813569,1175.0582775193257,570482
2016-06-20,1145.441650390625,1149.7225535683476,1130.2838553792171,1146.6647808194957,361262
2016-06-21,1120.3897705078125,1138.8018872459386,1118.4021969778817,1133.5599913322633,917576
2016-06-22,1141.728759765625,1144.4807768560997,1118.7518432717015,1121.940578439506,587516
2016-06-23,1146.8612060546875,1154.0906750265929,1139.8065309231538,1143.6068838832778,326746
2016-06-24,1150.137451171875,1155.1390721297673,1100.4050283126892,1127.007607076893,295184
2016-06-27,1172.1318359375,1177.6576261915886,1146.7960012387061,1151.0331798503785,340512
2016-06-28,1200.459716796875,1202.840496650169,1170.712019702348,1173.7479299372394,446176
2016-06-29,1210.6158447265625,1213.5426553255004,1182.3751725409354,1201.1804958663442,280750
2016-06-30,1205.1773681640625,1218.5005202253715,1192.9681403093393,1214.3288234145507,744744
