Price,Close,High,Low,Open,Volume,DeliveryVolume,DeliveryPercentage
Ticker,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI,MARUTI
Date,,,,,,,
2016-04-11,3176.101318359375,3184.63821006348,3125.2914544286964,3138.073832565419,970375,,
2016-04-12,3262.885009765625,3295.8910742579783,3163.6847012580038,3168.386701814505,1404427,,
2016-04-13,3407.052001953125,3419.606124528124,3292.923614907678,3298.7668991616024,1107727,,
2016-04-18,3395.501953125,3423.8514880272655,3359.93959358409,3397.191142355226,999621,,
2016-04-20,3350.85498046875,3400.4323940284144,3333.4617705275728,3400.4323940284144,1830988,,
2016-04-21,3383.039306640625,3412.210477459541,3354.4615142648613,3373.635083072581,1928958,,
2016-04-22,3484.156982421875,3499.6327466208622,3360.0309972868367,3380.939227951227,1165761,,
2016-04-25,3403.718994140625,3507.849769114395,3392.032203842241,3475.0721886490765,838216,,
2016-04-26,3534.83056640625,3555.3279828456143,3370.805093135009,3381.898507565305,2782566,,
2016-04-27,3523.73681640625,3590.70744555545,3497.1221647292004,3507.0285982526384,1388262,,
2016-04-28,3421.9794921875,3518.806049895897,3410.24722900871,3486.850104969494,1821236,,
2016-04-29,3464.617919921875,3487.7632442263293,3401.0256766343136,3416.547136098148,962848,,
2016-05-02,3497.669677734375,3506.023785873857,3425.312285799348,3469.4113129054517,762337,,
2016-05-03,3487.7177734375,3541.63206746039,3465.576866596584,3506.7544773480586,795697,,
2016-05-04,3480.04833984375,3509.676023399529,3465.8964203945584,3469.50283270505,557609,,
2016-05-05,3503.14794921875,3515.154165843182,3471.32886715215,3492.328489441603,485772,,
2016-05-06,3486.804931640625,3501.4590617346335,3471.3291662881556,3496.8482301227846,411877,,
2016-05-09,3511.95849609375,3540.718847745109,3492.3284148079015,3496.893549990657,771389,,
2016-05-10,3510.406494140625,3558.112158151619,3501.5501762166346,3515.6107038149703,1094666,,
2016-05-11,3551.721435546875,3558.9799570656933,3460.37302136454,3469.503293188721,679706,,
2016-05-12,3518.98876953125,3569.7531620682003,3507.393370716034,3546.9731820239667,857976,,
2016-05-13,3511.730224609375,3540.62744103225,3495.0674812621874,3520.6322381784207,435056,,
2016-05-16,3544.006103515625,3556.2405775721973,3506.0240867464026,3533.414899924109,878812,,
2016-05-17,3607.095947265625,3623.804386979735,3548.251398059964,3552.633972512238,865028,,
2016-05-18,3574.409423828125,3596.4134643723305,3474.1135385163907,3587.100633265331,1921044,,
2016-05-19,3585.091552734375,3597.3260241613784,3543.4574364899263,3560.8049477739532,679821,,
2016-05-20,3601.846435546875,3614.6745116738757,3543.5497853632323,3546.0149141037577,485214,,
2016-05-23,3573.451171875,3623.1654524347464,3560.805657492641,3619.239391359187,348354,,
2016-05-24,3582.900634765625,3595.4547564569307,3554.5511008376784,3573.4052427946335,283533,,
2016-05-25,3707.75732421875,3717.8463181655065,3597.3267420363695,3604.6309587714686,842663,,
2016-05-26,3759.845703125,3766.236893004037,3676.9427955412298,3710.5422383438563,1074664,,
2016-05-27,3785.95849609375,3800.0190251402546,3735.2397929716103,3756.833018965839,880888,,
2016-05-30,3717.61767578125,3793.8099570217846,3701.4114465812454,3772.627552361546,555311,,
2016-05-31,3799.6533203125,3816.4529282501367,3702.3702471413776,3706.8896862908027,775477,,
2016-06-01,3803.0771484375,3834.667972172636,3789.0620946595195,3807.961932107867,647041,,
2016-06-02,3822.5244140625,3830.102805677991,3765.3233614706533,3789.0620635555797,411143,,
2016-06-03,3851.10302734375,3866.669961851564,3816.4534688405047,3827.546659497413,591630,,
2016-06-06,3781.758056640625,3850.235085672022,3759.8454073505777,3849.32205861827,443085,,
2016-06-07,3775.96044921875,3824.62506129525,3759.8456100142025,3811.8881548832674,471388,,
2016-06-08,3798.283935546875,3807.140030480039,3765.9628670062534,3771.714759119401,417715,,
2016-06-09,3806.546875,3825.3553225720125,3779.9322239866656,3790.9340223033387,305434,,
2016-06-10,3753.910888671875,3831.974705036084,3743.411077114116,3802.849229964754,464892,,
2016-06-13,3775.138427734375,3789.0620896300034,3708.715712789656,3719.672036904249,385639,,
2016-06-14,3747.519287109375,3794.4487853159144,3739.7585576805945,3784.496880270035,403193,,
2016-06-15,3843.478759765625,3848.409016674011,3754.4586223692513,3766.236582154281,510807,,
2016-06-16,3728.89404296875,3801.8448186009073,3708.7160550328736,3798.1927102256905,1118517,,
2016-06-17,3756.64990234375,3796.3665801301036,3737.4306378220567,3757.106415881524,951658,,
2016-06-20,3773.723388671875,3784.3141452598425,3712.0938430371325,3722.000275186536,667114,,
2016-06-21,3795.818603515625,3805.5881713663243,3751.628183050859,3785.410184212427,512383,,
2016-06-22,3790.294921875,3816.909571140319,3766.2820430432294,3784.497110961995,417540,,
2016-06-23,3806.044677734375,3811.8879617344746,3762.0825141169303,3790.79694756184,341093,,
2016-06-24,3716.0654296875,3736.197718772424,3530.310138929074,3700.4982754106327,1559787,,
2016-06-27,3675.02490234375,3707.8024810136103,3655.8513362020885,3707.8024810136103,836629,,
2016-06-28,3723.962890625,3726.9302281441655,3688.628793055098,3689.6332118397554,626447,,
2016-06-29,3771.943115234375,3780.8451292430973,3733.55028203074,3743.4110190525716,646945,,
2016-06-30,3823.02734375,3834.7139125865588,3784.99940746563,3816.361978270661,770542,,
2016-07-01,3803.123291015625,3847.6792844733986,3772.628272650236,3824.305699720113,804652,,
2016-07-04,3810.791748046875,3826.039476607352,3794.3117897413204,3808.2354508839676,343648,,
2016-07-05,3810.38134765625,3836.5394822359744,3789.0620778865523,3816.452888088142,282439,,
2016-07-07,3780.936279296875,3825.4918195191453,3766.236455121364,3817.4573600738095,325843,,
2016-07-08,3799.8359375,3812.481451768329,3767.1497462387515,3781.758179573657,261295,,
2016-07-11,3900.4970703125,3913.1425842464596,3825.5379053960196,3825.5833784233864,518428,,
2016-07-12,3990.2939453125,4000.8851498880686,3917.7996755293707,3926.0169202461652,688921,,
2016-07-13,3945.5546875,3980.7976179594034,3926.929026340228,3971.6673481934417,416940,,
2016-07-14,4043.157470703125,4052.9270383755584,3949.754982656604,3949.754982656604,637580,,
2016-07-15,4083.101318359375,4102.731394538918,4021.4265364091943,4062.969255765902,654076,,
2016-07-18,4067.306884765625,4167.420202621085,4046.900642872713,4087.621734798968,684924,,
2016-07-19,4095.565185546875,4107.7082657085,4053.8396754269265,4067.7178634521633,378788,,
2016-07-20,4080.45458984375,4117.751832522855,4064.841738743896,4082.9199411067693,357560,,
2016-07-21,4029.827392578125,4102.275727376522,4022.1121362090785,4098.578146403167,252227,,
2016-07-22,4030.74072265625,4062.0573723530647,4021.8841818869973,4036.492614783749,339886,,
2016-07-25,4154.775390625,4167.968810860123,4036.4929053258716,4041.9710680564654,499616,,
2016-07-26,4082.41748046875,4185.31580254361,4064.0200754297,4177.235424364126,1828186,,
2016-07-27,4161.71484375,4225.489882851704,4117.752673219789,4118.026403054246,1212744,,
2016-07-28,4349.20458984375,4367.92164538942,4173.035832613904,4180.751089932724,1879461,,
2016-07-29,4343.818359375,4404.443277178322,4309.990433632111,4337.792290604107,799265,,
2016-08-01,4443.017578125,4460.136834141408,4357.193041296076,4381.571040189025,1206974,,
2016-08-02,4552.3984375,4600.743399112563,4455.572095191369,4473.832636565104,1611134,,
2016-08-03,4449.95751953125,4583.396350000426,4431.057678965591,4578.739822314708,1019631,,
2016-08-04,4464.38330078125,4514.919444801444,4445.849027189892,4514.919444801444,727097,,
2016-08-05,4511.859375,4533.178642673647,4473.831893071676,4491.179404493791,598288,,
2016-08-08,4557.60302734375,4574.265771922109,4528.65988994231,4546.874958916587,474502,,
2016-08-09,4529.390625,4584.993886801745,4487.893364550603,4574.1744263921455,508711,,
2016-08-10,4438.771484375,4546.873775743964,4428.18028360607,4542.308641430968,512317,,
2016-08-11,4454.33935546875,4495.288708073633,4387.095001989196,4439.228936024749,623156,,
2016-08-12,4472.55419921875,4510.353428260405,4425.53330821563,4457.397861693786,686072,,
2016-08-16,4441.146484375,4517.65797506937,4430.00737571475,4517.65797506937,793106,,
2016-08-17,4464.56494140625,4484.149102086565,4427.359093020528,4437.310997659074,498247,,
2016-08-18,4488.3037109375,4519.483492739773,4474.745171296491,4492.868845778651,479572,,
2016-08-19,4473.923828125,4504.145111908242,4463.834611979334,4488.440868704352,426426,,
2016-08-22,4416.99658203125,4471.093434387273,4408.0945683524105,4470.1804073432895,292890,,
2016-08-23,4413.39013671875,4432.929272951639,4382.529999630289,4414.531420572821,270869,,
2016-08-24,4518.15966796875,4550.343870327396,4461.461046847677,4464.702114433383,952400,,
2016-08-25,4504.60205078125,4549.431325428567,4479.539278175708,4541.214081402359,914319,,
2016-08-26,4492.91552734375,4533.088724752006,4483.055011760078,4505.606516453089,337715,,
2016-08-29,4498.849609375,4524.049246307344,4492.914933269854,4496.658433514363,299611,,
2016-08-30,4626.9013671875,4659.998597223651,4520.396852661553,4524.048960803473,996156,,
2016-08-31,4646.208984375,4692.361884355299,4630.257705365177,4655.632597607044,804288,,
2016-09-01,4652.736328125,4688.8218689794,4614.62797866329,4664.918071215976,870402,,
2016-09-02,4744.39794921875,4770.324104330015,4665.837026032393,4668.595156294087,956049,,
2016-09-06,4890.8095703125,4904.875857592274,4781.67935057871,4781.67935057871,970024,,
2016-09-07,4905.8408203125,4929.698829911156,4863.5957220307555,4890.1656240763605,734051,,
2016-09-08,5046.8271484375,5055.653255906648,4890.165424289409,4892.004177974045,942300,,
2016-09-09,4967.3935546875,5047.333558347344,4943.53554377908,5047.103714114755,547599,,
2016-09-12,4899.359375,4918.666289407018,4827.647978631075,4877.294329963407,795632,,
2016-09-14,4931.4443359375,4950.613428922574,4900.3233464714385,4900.3233464714385,539702,,
2016-09-15,5012.8095703125,5020.716299937805,4918.251584274608,4924.181743722191,704384,,
2016-09-16,5123.96240234375,5166.805449856705,5031.749091344596,5031.749091344596,1669960,,
2016-09-19,5049.12548828125,5120.0095311712175,5042.78187798063,5120.0095311712175,632835,,
2016-09-20,5070.22509765625,5111.734869266778,5055.055380867958,5079.556682140099,423083,,
2016-09-21,5057.72119140625,5095.645481185029,5021.727682526364,5080.475765273518,549370,,
2016-09-22,5145.84423828125,5179.861181608051,5116.286362443695,5116.654023399468,526494,,
2016-09-23,5150.16552734375,5176.092136438432,5116.8843516944025,5176.092136438432,559592,,
2016-09-26,5119.91650390625,5171.493623426769,5107.642735923775,5135.637934304343,418297,,
2016-09-27,5067.05322265625,5148.464307916757,5056.572416884144,5147.544931113687,427991,,
2016-09-28,5076.6142578125,5107.137744872374,5062.0882850166145,5066.31750776555,449876,,
2016-09-29,5000.12353515625,5127.365214365305,4960.038610633104,5125.526460478138,693217,,
2016-09-30,5035.70263671875,5054.274228638977,4948.637918445406,4983.022522823693,646631,,
2016-10-03,5222.9794921875,5258.835186641876,5177.745975002355,5204.591956569871,840940,,
2016-10-04,5222.06005859375,5256.950586614391,5194.478755467375,5254.376062307266,464913,,
2016-10-05,5230.51904296875,5302.046383541596,5215.624958181285,5246.883771609483,644731,,
2016-10-06,5250.05517578125,5282.371178971242,5240.447509115433,5240.447509115433,416860,,
2016-10-07,5225.55419921875,5256.307535822155,5210.384480500648,5249.136575630306,309473,,
2016-10-10,5251.8017578125,5272.073835160271,5236.724069210711,5263.33975621793,205840,,
2016-10-13,5257.50146484375,5288.9901169183195,5196.868840635669,5231.253439541514,441169,,
2016-10-14,5231.66845703125,5302.000789839043,5212.039670445129,5295.794995767767,352350,,
2016-10-17,5147.68212890625,5239.527770706736,5125.157399939359,5239.527770706736,400595,,
2016-10-18,5173.05712890625,5190.203414815194,5130.214084311619,5167.816502078104,487798,,
2016-10-19,5152.73876953125,5192.547601283531,5142.119699242112,5179.492721423948,384608,,
2016-10-20,5189.42236328125,5225.278058589597,5162.3007475992945,5162.3007475992945,311728,,
2016-10-21,5194.6630859375,5212.866567400733,5163.220219139775,5194.93871941761,224567,,
2016-10-24,5253.22607421875,5284.5769073104775,5209.188023107371,5209.188023107371,412403,,
2016-10-25,5315.33056640625,5331.465447818107,5264.029077539029,5271.705962715818,339506,,
2016-10-26,5395.9140625,5422.48396024698,5318.594389628481,5329.259249492556,590811,,
2016-10-27,5387.685546875,5468.452883772788,5322.364008654615,5421.564669739094,1864862,,
2016-10-28,5402.39599609375,5450.571251545397,5392.834566975131,5444.549512956864,935542,,
2016-11-01,5404.1884765625,5492.356615678777,5383.13483911086,5441.790895246516,1163831,,
2016-11-02,5327.4208984375,5392.05290795266,5318.594791369018,5336.982327380666,522312,,
